Epoch,Loss,Z_llk,theta_llk,X_llk,SSE,RMSE
0,146963431.01801583,-1409.9977777783056,-69523.25402499262,-41178640.48733273,216719.03759085512,4.655309201233097
100,1030807.8771022897,-1393.0974347624963,-62596.219960378636,-959385.1863708505,204760.47227290212,4.525046654708683
200,315134.4903735234,-1377.5431101292015,-62318.59602627966,-249815.11394008982,197062.10657609897,4.439167788855238
300,232597.63540770792,-1361.8497499007149,-62318.93821661089,-168436.40847160429,190640.5407729308,4.366240267929957
400,196363.04916421435,-1347.2937153164808,-62389.385193769456,-132351.10018700943,185133.1214174981,4.302709860279893
500,173817.01164718927,-1333.635894920737,-62432.15706727122,-109866.45385653418,180192.05650190238,4.24490349126929
600,158029.4297939775,-1320.7140751941156,-62440.57595715291,-94133.32584930191,175686.9016020072,4.19150213649006
700,146205.10231321648,-1308.4344318299902,-62425.152372105455,-82365.17061345144,171534.8210342648,4.141676243192658
800,136936.21745386417,-1296.7705505653498,-62392.58431616707,-73161.67728225062,167675.5767617466,4.094820835662367
900,129369.81906387027,-1285.6715997074302,-62289.13967041951,-65725.96814065639,164062.5819001379,4.050463947502039
1000,123090.31144676762,-1275.150696062103,-62187.93336615295,-59567.99472795311,160659.20776443402,4.0082316270948475
1100,117730.21375232028,-1265.189178883541,-62051.591141431425,-54366.14008777918,157435.41970659487,3.9678132479565464
1200,113133.97203821159,-1255.739319017019,-61938.83139740116,-49899.61286996263,154367.13276391852,3.9289582940509638
1300,109053.8288338184,-1246.7692391315095,-61742.28233410212,-46010.45548686863,151432.5346768824,3.8914333436008177
1400,105392.88380613519,-1238.2260259105747,-61538.900229498286,-42582.5505254118,148614.80812487216,3.855059119194828
1500,102128.98506663539,-1230.1005856288525,-61344.42537630645,-39531.04851938403,145898.27870679792,3.8196633190216915
1600,99095.28620993826,-1222.364899425948,-61042.62308259713,-36786.933296079675,143270.82046620178,3.785113214504972
1700,96280.66388376665,-1214.9631872673824,-60745.25861013276,-34300.359675350075,140720.3470378937,3.751271078419868
1800,93682.32949263793,-1207.8850274467943,-60419.970549519785,-32028.45145847347,138236.7779141512,3.7180206819509647
1900,91354.85958747809,-1201.1238433352075,-60169.581603355735,-29940.868676305003,135814.12883206623,3.6852968514363447
2000,88977.13690500226,-1194.6160903101206,-59751.81940685599,-28004.865823539236,133444.6621724602,3.653007831533631
2100,86992.81155557759,-1188.3361629822255,-59551.51153320846,-26207.346885392904,131125.7199414263,3.621128552556872
2200,84713.31922227393,-1182.2704163358494,-59001.27111787221,-24510.91988981502,128853.02225465457,3.5896103166591025
2300,82696.4568861876,-1176.3883871677554,-58577.81161924182,-22915.18438136456,126626.46853746277,3.558461304236185
2400,80946.95345255829,-1170.6709508217323,-58328.90514701073,-21417.332715296376,124444.60894087615,3.5276707462697825
2500,79118.18976007693,-1165.1474553539738,-58040.88500918418,-20012.1031331964,122305.13706031583,3.497215135794707
2600,76996.9994887335,-1159.6672741939744,-57194.9946016379,-18615.17953771528,120214.64084003451,3.467198304683979
2700,75212.81731978281,-1154.4101753536193,-56688.08068433658,-17317.50032453917,118170.35672967929,3.4375915512125528
2800,73646.48383267409,-1149.3227911375434,-56373.685218526174,-16110.770570510595,116177.3726938384,3.408480199353348
2900,71675.88243627813,-1144.3906062275237,-55611.29513003002,-14904.129624350691,114236.40802027156,3.3798876907416857
3000,70063.1844426282,-1139.5741467013584,-55124.35786309306,-13783.03075967224,112347.07597977307,3.351821534326867
3100,68478.96131805671,-1134.9256725249788,-54633.86896549322,-12710.735203375898,110510.87241627823,3.3243175602862944
3200,67059.76385766432,-1130.3396410971286,-54223.76011545543,-11688.2742054226,108729.45655124627,3.297414995890662
3300,65307.904732021314,-1125.9172309221276,-53491.0846977012,-10674.106773417176,107006.604626069,3.2711863998566173
3400,63824.0942846268,-1121.6658852089015,-52967.60244603078,-9726.335905484924,105342.85257332643,3.245656367721735
3500,62346.17585103656,-1117.4725790390357,-52383.76836843463,-8801.220267529301,103745.85394141373,3.220960321727261
3600,60752.77042306372,-1113.4006946127483,-51705.05801152049,-7920.689622556854,102222.13834764839,3.1972197038622223
3700,59392.4555398805,-1109.439804796759,-51162.64359219978,-7106.82994670913,100784.63441883455,3.1746595788971548
3800,57966.35148493837,-1105.6639226587677,-50544.75436487945,-6308.902555393399,99425.72061138955,3.153184431830616
3900,56519.40506718505,-1101.9241651778025,-49860.283751106675,-5543.928363886467,98147.61382419744,3.1328519566713875
4000,55291.4100996908,-1098.304450508661,-49298.93508185292,-4850.176431144291,96955.75388988924,3.113771890969043
4100,54071.70982573821,-1094.7999358133786,-48752.46288487433,-4209.626233466692,95841.78927363359,3.0958325095785413
4200,53180.161923599524,-1091.3313628005537,-48430.891131608936,-3685.2682798075693,94795.33287889544,3.078885072211943
4300,52127.93010294969,-1088.0994020521384,-47843.48634569371,-3186.25500039475,93843.2256987918,3.0633841694895505
4400,50330.401157948334,-1084.917523084599,-46892.707980340674,-2420.492406809539,92951.71416737715,3.0487983561950642
4500,49995.28529648228,-1081.7572782649795,-46873.885813139146,-2142.2643085943037,92117.38282720016,3.0350845594019322
4600,48328.5441787857,-1078.6737921802567,-45829.566177179506,-1370.3307831398606,91346.48640751645,3.0223581258268593
4700,47445.22906107253,-1075.6956232094853,-45346.444883856275,-910.0693305375399,90640.89079079314,3.0106625647985363
4800,45898.33706578048,-1072.900925567447,-44558.91250191002,-293.4983601593925,90009.3217427074,3.000155358355752
4900,45321.0484114357,-1070.1549764647498,-44294.43453898971,9.61985348882368,89425.73560545755,2.990413610279648
5000,43822.325909795356,-1067.3717527201816,-43432.96700578342,678.0128487082476,88868.73768521646,2.9810860048850722
